Timestamp,"Before the coronavirus crisis, how often did you eat out at a sit-down restaurant?",Currently how often do you eat out at a sit-down restaurant?,Next year how often do you think you'll eat out at a sit-down restaurant?,"Currently, about how often do you order takeout?",In what year were you born?,In what zip code do you live?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,What is your Amazon Worker ID?
10/17/2020 16:01:41,Once a week,Less than once per month,Once a month,Multiple times per week,1991,44314,Female,High school,18000,A3KJV55REYSZ7F
10/17/2020 16:01:47,Multiple time per month,Once a month,Multiple time per month,Once a week,1988,35180,Female,High school,110000,A3UD7T9F3EMLM2
10/17/2020 16:01:54,Once a month,Once a month,Once a month,Multiple time per month,1989,33534,Female,High school,27000,A29HFXCYLT9H8G
10/17/2020 16:01:55,Multiple time per month,Less than once per month,Multiple time per month,Multiple time per month,1970,33973,Female,College graduate,13000,A1I86T3FMFNAXW
10/17/2020 16:01:56,Once a week,Less than once per month,Less than once per month,Multiple time per month,1951,06611,Female,High school,90000,A1TNICCDSHTUXS
10/17/2020 16:01:57,Multiple time per month,Less than once per month,Less than once per month,Less than once per month,1989,90028,Female,High school,75000,A3JFC6OJ13O1XR
10/17/2020 16:02:02,Once a month,Once a month,Once a month,Once a week,1997,51031,Female,High school,90000,A2XSWLLS7L01ME
10/17/2020 16:02:03,Once a week,Multiple time per month,Multiple times per week,Multiple time per month,1985,10459,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",55,A382SQLIWZVU2Q
10/17/2020 16:02:05,Multiple time per month,Less than once per month,Multiple time per month,Less than once per month,1982,64870,Female,College graduate,31000,A1VPD12Q3TBJNY
10/17/2020 16:02:06,Once a month,Less than once per month,Less than once per month,Multiple time per month,1985,62271,Female,High school,75000,A2BHV2CQMHKQOL
10/17/2020 16:02:17,Once a week,Multiple times per week,Once a month,Once a week,1994,14464,Male,College graduate,50000,A1VQHQOFF6QT5L
10/17/2020 16:02:22,Multiple time per month,Once a month,Once a month,Once a month,1986,60518,Male,College graduate,106000,A2QFNRJNY1POP9
10/17/2020 16:02:26,Multiple times per week,Less than once per month,Multiple times per week,Once a week,1969,60516,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",75000,A3OD2DSMPHAA2V
10/17/2020 16:02:26,Once a month,Once a month,Once a month,Multiple time per month,1995,60002,Male,College graduate,600,A3VQEPN810NVR6 
10/17/2020 16:02:36,Multiple times per week,Less than once per month,Once a month,Less than once per month,1989,66203,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",50000,ASSOJHQS5IGV3
10/17/2020 16:02:42,Multiple time per month,Once a month,Once a month,Multiple time per month,1981,48098,Female,College graduate,90000,AQNPM63LDDN9P
10/17/2020 16:02:45,Once a month,Less than once per month,Less than once per month,Once a month,1984,70119,Female,College graduate,64000,AIA7RZSAONU5M
10/17/2020 16:02:49,Multiple time per month,Less than once per month,Less than once per month,Less than once per month,1987,18067,Male,College graduate,30000,A3A6A30JN4KOTG
10/17/2020 16:02:49,Once a week,Once a month,Once a month,Multiple time per month,1956,32223,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",50000,A1PBQJ7J2LTPT1
10/17/2020 16:02:57,Once a week,Less than once per month,Less than once per month,Once a week,1986,07840,Female,College graduate,45000,AYYSG3O9FNU15
10/17/2020 16:03:01,Once a week,Multiple time per month,Once a week,Multiple times per week,1985,75001,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",50000,ACFU9QXVYQSRK
10/17/2020 16:03:16,Multiple time per month,Less than once per month,Multiple time per month,Once a week,1966,39503,Female,College graduate,133000,A16T30ETFAIASD
10/17/2020 16:03:26,Once a month,Less than once per month,Once a month,Once a month,1973,19802,Female,College graduate,94000,A3R01FSZLX4I4Q
10/17/2020 16:03:35,Once a week,Once a month,Once a month,Once a week,1987,83854,Male,College graduate,55000,A3UV5QXBY9ZVSD
10/17/2020 16:03:42,Once a month,Less than once per month,Once a month,Multiple time per month,1982,99603,Male,College graduate,200000,ADE4283NU45C9
10/17/2020 16:03:49,Multiple time per month,Once a month,Once a week,Multiple time per month,1959,85310,Female,High school,35000,AP43EYS9D1Z9E
10/17/2020 16:04:13,Multiple time per month,Less than once per month,Less than once per month,Once a week,1977,95357,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",100000,A3UU2R2HPMN92C
10/17/2020 16:04:15,Multiple time per month,Multiple time per month,Once a month,Multiple time per month,1971,90803,Female,College graduate,70000,Dining Out
10/17/2020 16:04:37,Multiple time per month,Less than once per month,Less than once per month,Multiple time per month,1993,71461,Female,High school,40000,ARON01UO1YK7I
10/17/2020 16:04:48,Once a month,Once a week,Once a week,Multiple time per month,1988,32003,Male,College graduate,2000,A12JKMVUW5HNKO
10/17/2020 16:04:53,Once a month,Once a month,Once a month,Multiple time per month,1976,43832,Female,College graduate,130000,A1PROY06KPZ2LK
10/17/2020 16:04:53,Once a week,Less than once per month,Multiple time per month,Less than once per month,1981,77656,Female,High school,38000,A3QSK2M6HK5BHF
10/17/2020 16:05:02,Multiple time per month,Less than once per month,Multiple time per month,Less than once per month,1984,07860,Male,High school,12000,A1S8KMGKJACGVO
10/17/2020 16:05:12,Once a week,Less than once per month,Less than once per month,Once a month,1990,19002,Male,College graduate,45000,A1FXXJWU3H13NA
10/17/2020 16:05:17,Multiple times per week,Multiple times per week,Once a month,Multiple times per week,1980,75071,Female,College graduate,20000,A1KKYASWXAPQC0
10/17/2020 16:05:46,Multiple times per week,Multiple times per week,Multiple times per week,Less than once per month,1951,33709,Female,High school,50000,AYXN53TNFG71P
10/17/2020 16:05:47,Once a month,Less than once per month,Once a month,Less than once per month,1983,01604,Male,High school,75000,A1KMEBRRTN67LP
10/17/2020 16:05:49,Multiple time per month,Less than once per month,Once a month,Once a week,1975,47362,Male,College graduate,110000,A38ZLHQKD09JMM
10/17/2020 16:06:03,Multiple time per month,Once a month,Multiple time per month,Multiple time per month,1979,95670,Female,College graduate,40000,A7U3ZLJQB0IUZ
10/17/2020 16:06:09,Once a month,Less than once per month,Multiple time per month,Once a week,1996,72601,Female,College graduate,12000,A11RKWEDBYPXT6
10/17/2020 16:06:18,Multiple time per month,Less than once per month,Less than once per month,Once a week,1981,32822,Female,College graduate,60000,A25JS1O0STVJW7
10/17/2020 16:06:37,Multiple time per month,Less than once per month,Less than once per month,Multiple times per week,1989,49007,Female,High school,9000,A1D3VP8OFZGCJD
10/17/2020 16:06:48,Multiple times per week,Once a week,Multiple time per month,Once a week,1983,32216,Male,College graduate,20000,A3Q348SS5WGCV4
10/17/2020 16:07:03,Multiple time per month,Less than once per month,Less than once per month,Multiple time per month,1963,23112,Female,College graduate,75000,A2RLOB9VH2XSRT
10/17/2020 16:07:11,Once a week,Less than once per month,Less than once per month,Multiple time per month,1980,35043,Female,College graduate,84900,ABKMTFPYTEPCC
10/17/2020 16:07:21,Once a week,Less than once per month,Once a week,Once a week,1979,97209,Male,College graduate,70000,A36W7RZROOARHJ
10/17/2020 16:07:23,Multiple time per month,Multiple time per month,Once a month,Multiple time per month,1955,93101,Male,High school,15000,A3PJ4WKS6GY5LH
10/17/2020 16:07:38,Less than once per month,Less than once per month,Once a month,Multiple time per month,1951,31632,Male,High school,15247,A3EN54EJAR9QP0
10/17/2020 16:08:09,Multiple time per month,Less than once per month,Multiple time per month,Multiple time per month,1986,45039,Male,College graduate,85000,A2VTUR86NML1F8
10/17/2020 16:08:19,Multiple time per month,Once a week,Multiple time per month,Multiple time per month,1969,17044,Male,College graduate,78000,A2EK1HDV4I4GSK
10/17/2020 16:08:35,Once a month,Once a week,Multiple time per month,Once a month,1971,29488,Female,College graduate,75000,A2X9TBFKHY1S30
10/17/2020 16:08:36,Once a week,Multiple time per month,Once a week,Multiple times per week,1985,20101,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",45000,A3EDK49BRU3WTF
10/17/2020 16:09:04,Once a week,Multiple time per month,Multiple time per month,Multiple time per month,1986,18202,Female,College graduate,43000,A1COLKFC8DFHLK
10/17/2020 16:09:11,Once a week,Less than once per month,Less than once per month,Once a week,1980,97439,Female,College graduate,47000,A1VE6VNQJO0U88
10/17/2020 16:09:32,Multiple time per month,Less than once per month,Once a month,Less than once per month,1991,91942,Female,College graduate,75000,A3PQ8A3A09CGR2
10/17/2020 16:09:42,Multiple times per week,Multiple time per month,Multiple times per week,Once a week,1958,43606,Female,High school,124000,A1MT8PH0OVOD67 
10/17/2020 16:09:50,Once a week,Once a month,Once a week,Once a week,1996,89142,Male,College graduate,75000,A1RST51R3ZIGLX
10/17/2020 16:09:56,Multiple times per week,Less than once per month,Multiple time per month,Once a week,1996,96818,Female,College graduate,50000,A1U8VXESVQPZFJ
10/17/2020 16:10:08,Multiple time per month,Less than once per month,Less than once per month,Multiple times per week,1964,34747,Female,High school,150000,A3JE9Y8S762NK1
10/17/2020 16:10:17,Multiple time per month,Less than once per month,Once a month,Once a week,1990,68105,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",120000,A36S1F11P9MRKW
10/17/2020 16:10:39,Once a month,Once a month,Once a month,Multiple times per week,1989,62208,Female,College graduate,30000,A2LTFGYU5WFGFM
10/17/2020 16:10:42,Once a month,Less than once per month,Less than once per month,Less than once per month,1989,30005,Female,High school,20000,A10TIDLXVV9Q4K
10/17/2020 16:11:19,Once a month,Less than once per month,Less than once per month,Once a week,1970,30068,Male,College graduate,61000,AO71NL7FMMS09
10/17/2020 16:11:57,Once a month,Once a month,Once a month,Once a month,1990,60603,Male,College graduate,33000,ADP1QUGXHGJRS
10/17/2020 16:12:02,Once a month,Once a month,Once a month,Once a month,1991,35907,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",23000,A38QBMMEOFE61V
10/17/2020 16:12:06,Once a month,Less than once per month,Once a month,Multiple time per month,1995,11377,Male,High school,46500,ANONYKAVCEV2H
10/17/2020 16:12:34,Multiple times per week,Less than once per month,Once a month,Less than once per month,1989,81328,Male,High school,3000,A70TBKPGWQZO4
10/17/2020 16:12:35,Multiple time per month,Once a month,Multiple time per month,Multiple time per month,1978,21045,Male,College graduate,140000,A3IJ7SO3Z5PGT1
10/17/2020 16:12:59,Once a week,Less than once per month,Multiple times per week,Once a week,1975,50703,Female,College graduate,490000,A1U83HHDT4D15Y
10/17/2020 16:13:01,Multiple time per month,Multiple time per month,Multiple time per month,Once a week,1975,14075,Male,College graduate,152000,A3DQBJOPTTD7QZ
10/17/2020 16:13:10,Less than once per month,Less than once per month,Less than once per month,Less than once per month,1970,63136,Male,High school,35000,A136TLVBJV40HC
10/17/2020 16:14:26,Less than once per month,Less than once per month,Once a month,Once a month,1985,12566,Male,High school,0,A3SH7M12BRSS8E
10/17/2020 16:14:34,Less than once per month,Less than once per month,Once a month,Less than once per month,1966,86022,Male,High school,22000,A1S0N5BIXAQO8I
10/17/2020 16:14:49,Once a month,Once a month,Multiple time per month,Once a week,1961,53029,Female,High school,14000,A2YC6PEMIRSOAA
10/17/2020 16:15:33,Multiple time per month,Once a month,Once a week,Multiple times per week,1963,16508,Female,High school,400000,AJWP51BN92Y9O
10/17/2020 16:16:19,Multiple time per month,Less than once per month,Less than once per month,Once a month,1994,60084,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",150000,A1X4VCUCHEUUZD
10/17/2020 16:16:32,Multiple time per month,Multiple time per month,Multiple time per month,Multiple time per month,1989,14604,Male,College graduate,150000,A11244HS4DZOVL
10/17/2020 16:17:30,Once a month,Less than once per month,Once a month,Multiple time per month,1980,17055,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",150000,A10N9D9CBT55DX
10/17/2020 16:17:55,Once a week,Less than once per month,Less than once per month,Once a week,1978,44403,Female,High school,42000,A3R93NB2CPSTVQ
10/17/2020 16:18:03,Multiple time per month,Less than once per month,Once a month,Once a week,1980,90005,Female,College graduate,25000,A1YQHZOJQS3JC7
10/17/2020 16:18:19,Once a week,Multiple time per month,Multiple time per month,Multiple time per month,1957,95825,Female,College graduate,100000,A21W3W9JA7TXOJ
10/17/2020 16:19:53,Once a week,Once a month,Once a week,Once a week,1972,66502,Male,College graduate,15000,A28NKLC1OPNP1K
10/17/2020 16:20:33,Multiple times per week,Once a month,Once a month,Once a month,1963,30707,Female,High school,29000,A3VCI1GD718G7A
10/17/2020 16:21:09,Multiple time per month,Less than once per month,Once a month,Once a week,1993,11367,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",55000,A1257SFH8W5MCV
10/17/2020 16:21:13,Once a month,Less than once per month,Less than once per month,Multiple time per month,1997,20748,Female,College graduate,100000,A3C5NLRQGFJG96
10/17/2020 16:21:16,Once a week,Once a month,Multiple time per month,Multiple time per month,1980,80033,Male,College graduate,45000,A2M5I4KGKF9J7Q
10/17/2020 16:21:30,Once a month,Once a month,Once a month,Once a month,1977,32738,Male,College graduate,63000,A35OJG4HURISYX
10/17/2020 16:21:45,Once a month,Once a month,Once a month,Once a month,1984,02143,Female,College graduate,50000,A3LS2LPL58TMFO
10/17/2020 16:22:15,Multiple times per week,Less than once per month,Once a month,Multiple times per week,1996,94720,Male,High school,15000,AWS49CZW5Y9JK
10/17/2020 16:23:44,Multiple time per month,Less than once per month,Once a month,Less than once per month,1983,53215,Male,High school,11000,A2B93NS1ZZ7QD7
10/17/2020 16:24:03,Less than once per month,Less than once per month,Less than once per month,Multiple time per month,1995,84601,Male,High school,20000,A1HJSVUSOLX1LX
10/17/2020 16:24:27,Multiple time per month,Less than once per month,Less than once per month,Once a month,1963,18064,Female,High school,28000,A10EQASJQODBUH
10/17/2020 16:24:34,Less than once per month,Less than once per month,Less than once per month,Less than once per month,1964,97301,Female,High school,55555,A1VU3BUWOX46QI
10/17/2020 16:25:10,Once a week,Multiple time per month,Once a week,Once a week,1966,76179,Female,High school,110000,A1P38IV84XZ9BR
10/17/2020 16:25:44,Once a week,Once a week,Once a week,Once a week,1975,70554,Male,College graduate,50000,AUJVF2FELZW96
10/17/2020 16:26:17,Once a week,Once a week,Once a week,Once a week,1979,62221,Male,High school,50000,A3CPJQFHAQVFI9
10/17/2020 16:26:30,Multiple times per week,Multiple times per week,Multiple times per week,Once a week,1959,32084,Male,College graduate,125000,A1EDN55K4IF2GD
10/17/2020 16:27:14,Multiple times per week,Once a month,Multiple times per week,Multiple time per month,1991,90201,Female,High school,65000,A2F5QCUTZU7KF7
10/17/2020 16:27:53,Multiple time per month,Less than once per month,Multiple time per month,Once a week,1985,75204,Male,High school,39000,A29WFKLU78YRYT
10/17/2020 16:28:00,Once a week,Once a week,Once a week,Once a week,1989,41042,Female,College graduate,100000,A3G3TIX6FEMN8R
10/17/2020 16:28:05,Multiple time per month,Once a month,Multiple time per month,Once a month,1979,98465,Female,College graduate,21000,A2DBMKJCUX09Q5
10/17/2020 16:28:55,Multiple time per month,Less than once per month,Less than once per month,Multiple time per month,1962,48415,Male,High school,20,A2X93I4XMNPM1A
10/17/2020 16:29:31,Once a week,Less than once per month,Multiple times per week,Once a week,1975,80015,Male,College graduate,550000,ATNTBEFDP8R11
10/17/2020 16:29:44,Multiple times per week,Less than once per month,Less than once per month,Less than once per month,1996,78727,Female,College graduate,60000,AM36K1JYK4SC1
10/17/2020 16:30:22,Multiple time per month,Once a month,Once a week,Multiple time per month,1984,93436,Female,College graduate,25000,A2WVC1H4CVZG57
10/17/2020 16:30:52,Multiple times per week,Less than once per month,Multiple time per month,Once a week,1985,92618,Male,College graduate,60000,A3F2UUP5LDLESJ
10/17/2020 16:30:55,Multiple times per week,Multiple time per month,Multiple times per week,Multiple times per week,1992,01854,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",72000,A3IEFYBAJDK48K
10/17/2020 16:31:21,Once a week,Multiple times per week,Multiple times per week,Multiple times per week,1995,98001,Female,College graduate,40000,A1W7F2ZZOERV49
10/17/2020 16:31:48,Once a week,Multiple time per month,Multiple time per month,Once a week,1992,78756,Male,College graduate,28000,ARG392N6HWZCJ 
10/17/2020 16:32:28,Once a week,Less than once per month,Once a month,Multiple time per month,1977,27604,Male,College graduate,105000,AZIAQJWXTSFUX
10/17/2020 16:32:31,Multiple time per month,Multiple time per month,Once a month,Multiple time per month,1993,10314,Female,College graduate,55000,AMJBPEANFZDMH
10/17/2020 16:32:34,Once a month,Less than once per month,Less than once per month,Multiple time per month,1984,79413,Male,High school,65000,A1O4W7F05T6HY0
10/17/2020 16:33:23,Once a week,Less than once per month,Multiple time per month,Once a week,1985,97914,Male,College graduate,80000,AX1I9MBLJDKGA
10/17/2020 16:33:31,Once a week,Less than once per month,Less than once per month,Once a week,1971,11211,Female,College graduate,52000,A3DA81ZFKYYGFC
10/17/2020 16:34:16,Multiple times per week,Once a week,Multiple times per week,Multiple times per week,1978,89131,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",140000,A2R3YFUNAT892R
10/17/2020 16:34:36,Multiple times per week,Once a week,Less than once per month,Once a week,1988,20032,Female,College graduate,10000,COPIEDA2SA7C7HD1EHQ4
10/17/2020 16:35:38,Once a month,Less than once per month,Less than once per month,Less than once per month,1960,95758,Female,College graduate,2000,A3L7TVDAMZM0FG
10/17/2020 16:36:19,Once a month,Once a month,Once a month,Once a month,1987,45039,Female,College graduate,10000,A3CRFR4J29JHUG
10/17/2020 16:36:29,Less than once per month,Less than once per month,Once a month,Less than once per month,1963,19104,Female,College graduate,60000,A1DCKRRPA4AWVD
10/17/2020 16:36:39,Multiple time per month,Once a week,Once a week,Once a week,1966,34638,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",100000,A1D1C8B2LOLEUI
10/17/2020 16:36:52,Multiple time per month,Less than once per month,Less than once per month,Multiple times per week,1986,02445,Female,College graduate,80000,A1ZZSJ0MP1HFP
10/17/2020 16:37:07,Once a month,Less than once per month,Once a month,Multiple time per month,1969,14067,Male,College graduate,55000,ABJEQJY0SSXX6
10/17/2020 16:37:33,Multiple time per month,Less than once per month,Multiple time per month,Multiple time per month,1989,90250,Male,High school,4132,A1KFK92GEFQ9F5
10/17/2020 16:37:58,Less than once per month,Less than once per month,Less than once per month,Less than once per month,1953,85008,Male,High school,11000,A1TFM21LY53X5V
10/17/2020 16:38:29,Once a month,Less than once per month,Less than once per month,Multiple time per month,1995,22406,Female,College graduate,115000,A24E737D0977EH
10/17/2020 16:38:41,Less than once per month,Less than once per month,Less than once per month,Once a month,1958,46220,Female,College graduate,94000,A350SLJRMBIFM4
10/17/2020 16:39:17,Multiple times per week,Less than once per month,Once a week,Multiple time per month,1960,28501,Male,College graduate,69400,A2LE8VTSBGZ70X
10/17/2020 16:39:54,Multiple times per week,Once a week,Once a month,Multiple times per week,1993,60649,Male,College graduate,75000,AFKYO1HML5XAP
10/17/2020 16:41:05,Once a week,Less than once per month,Once a week,Multiple times per week,1976,91776,Male,College graduate,40000,AGNJKSH5LFKXZ
10/17/2020 16:41:11,Multiple times per week,Once a month,Once a month,Multiple time per month,1998,28227,Male,College graduate,130000,A3E1UFYYW58KY8
10/17/2020 16:41:16,Once a week,Once a month,Multiple time per month,Once a month,1972,90001,Male,College graduate,90000,A2FINJTHF3D0NL
10/17/2020 16:41:41,Once a month,Once a month,Once a month,Once a month,1988,02472,Male,High school,43000,AJE8ER94166G2
10/17/2020 16:42:09,Multiple times per week,Multiple times per week,Multiple times per week,Multiple time per month,1996,65802,Male,College graduate,110000,A5648KTF0GCUP
10/17/2020 16:42:13,Multiple time per month,Multiple times per week,Multiple time per month,Once a month,1995,43002,Male,College graduate,25000,A4Y8RVUXQL5DG
10/17/2020 16:42:35,Multiple time per month,Once a week,Multiple times per week,Multiple times per week,1996,33137,Male,College graduate,35000,A3N92NVSK6SL94
10/17/2020 16:44:32,Less than once per month,Less than once per month,Less than once per month,Less than once per month,1944,38575,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",9000,A2S3JDPIXPOKEM
10/17/2020 16:44:50,Multiple time per month,Less than once per month,Multiple time per month,Once a week,1976,20007,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",110000,A2FX4BE3C91RX1
10/17/2020 16:45:00,Once a week,Once a week,Once a week,Once a week,1985,84094,Male,College graduate,60000,A1T8Y1FW88W4AE
10/17/2020 16:45:13,Once a week,Less than once per month,Once a month,Once a week,1967,60406,Male,College graduate,120000,A1PM75P2SY9OZ4
10/17/2020 16:45:24,Less than once per month,Less than once per month,Less than once per month,Multiple times per week,1984,27834,Female,High school,10000,A247LQ2UQW4LH0
10/17/2020 16:45:34,Multiple time per month,Multiple time per month,Multiple time per month,Once a week,1992,28557,Female,College graduate,34000,A16DGHNPYZ8K5S
10/17/2020 16:45:51,Once a week,Multiple time per month,Multiple time per month,Once a week,1984,07856,Female,College graduate,98699,A1NUW3AISE7RZC
10/17/2020 16:46:18,Once a week,Less than once per month,Once a month,Once a week,1994,60615,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",32000,A1940VWN8QQ536
10/17/2020 16:46:31,Once a month,Less than once per month,Less than once per month,Multiple times per week,1992,85016,Male,College graduate,40000,A2NUKIGRRJ89CK
10/17/2020 16:46:54,Multiple time per month,Multiple time per month,Multiple time per month,Multiple time per month,1984,14830,Female,College graduate,110000,A919L903B0WAP
10/17/2020 16:47:21,Once a week,Less than once per month,Multiple time per month,Once a week,1987,90034,Male,College graduate,98000,A2D8QWQBZSXYI9
10/17/2020 16:47:32,Multiple times per week,Once a week,Multiple times per week,Multiple times per week,1991,23663,Female,College graduate,72000,A124AOPJV07XKB
10/17/2020 16:48:54,Multiple times per week,Less than once per month,Once a month,Multiple times per week,1976,94122,Female,College graduate,149000,A23K0YTNUJ0GKR
10/17/2020 16:49:11,Once a month,Less than once per month,Once a month,Multiple time per month,1990,48185,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",4800,A296CJ21P3GMDB
10/17/2020 16:49:19,Once a week,Less than once per month,Once a week,Once a week,1951,74136,Male,College graduate,38000,A3FAQHVPI8OUP0
10/17/2020 16:50:46,Less than once per month,Less than once per month,Less than once per month,Once a month,1964,95691,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",10000,A3GPYCHKB2KDLC
